Old ID,New ID,Date,Year,Month,Common Name,Species,Latitude,Longitude,Island_Atoll,Binary_Location,PCL (cm),FL (cm),TL (cm),Sex,d13C,d15N,C:N
114,CAM-38,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.306216667,72.26716667,Salomon,WiderArchipelago,113,127,132,F,-16.0,15.0,3.2
116,CAM-44,4/15/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.306216667,72.26716667,Salomon,WiderArchipelago,103,114,134,M,-14.0,14.6,3.2
24,CAL-20,3/19/15,2015,3,Silvertip Shark,C. albimarginatus,-5.302883333,72.2449,Salomon,WiderArchipelago,,102,120,F,-15.1,14.5,3.2
110,CAM-26,3/19/15,2015,3,Grey Reef Shark,C. amblyrhynchos,-5.302883333,72.24491667,Salomon,WiderArchipelago,87,97,112,F,-15.1,14.1,3.2
25,CAL-26,3/25/14,2014,3,Silvertip Shark,C. albimarginatus,-5.298366667,72.24583333,Salomon,WiderArchipelago,110,124,133*,F,-15.0,14.7,3.2
22,CAL-12,3/29/14,2014,3,Silvertip Shark,C. albimarginatus,-5.297416667,71.24921667,Offshore,WiderArchipelago,93,102.5,121,F,-14.3,12.8,2.9
69,CAM-6/UIF-1,3/20/14,2014,3,Grey Reef Shark,C. amblyrhynchos,-5.263418333,70.76131333,Offshore,WiderArchipelago,65,72,88,F,-17.1,13.0,3.3
119,CAM-59,4/8/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.2632,71.67355,Peros Banhos,WiderArchipelago,80.5,89.5,103,M,-15.5,13.6,3.2
118,CAM-41,4/8/16,2016,4,Grey Reef Shark,C. amblyrhynchos,-5.2632,71.67355,Peros Banhos,WiderArchipelago,78.5,104,,M,-15.7,14.1,3.2
5,CAL-8/AV-2,3/20/14,2014,3,Silvertip Shark,C. albimarginatus,-5.252925,70.6649,Offshore,WiderArchipelago,82,92,108,M,-17.5,13.2,3.5
4,CAL-24,3/27/15,2015,3,Silvertip Shark,C. albimarginatus,-5.2519,71.65845,Peros Banhos,WiderArchipelago,107,117,143,F,-16.3,14.1,3.2
3,CAL-22,3/27/15,2015,3,Silvertip Shark,C. albimarginatus,-5.2519,71.65845,Peros Banhos,WiderArchipelago,114,124,153,F,-16.1,14.3,3.2
1,CAL-14,3/27/15,2015,3,Silvertip Shark,C. albimarginatus,-5.2519,71.65845,Peros Banhos,WiderArchipelago,100,110,131,M,-16.5,14.0,3.4
2,CAL-16,3/27/15,2015,3,Silvertip Shark,C. albimarginatus,-5.2519,71.65845,Peros Banhos,WiderArchipelago,118,129,157,M,-16.3,14.4,3.3
125,CAM-31,4/7/16,2016,4,Grey Reef Shark,C. amblyrhynchos,,,Unknown,WiderArchipelago,106,116,136,F,-14.8,14.4,3.2
20,,19/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,102,112,132,F,-15.36326706,12.88037914,3.188543203
21,,19/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,NA,NA,NA,M,-15.00584994,13.14248347,3.056510207
24,,19/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,135,150,175.5,F,-16.00917789,14.10295562,3.220577124
25,,19/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,94,104,128,F,-13.46491937,12.54487175,2.802582524
26,,19/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,118,131,158,M,-14.81581824,13.54516159,3.066398997
27,,19/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,102,113.5,139,F,-14.64843281,13.10266577,2.946375615
42,,22/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,141,155.5,187,M,-13.16953332,12.08679509,2.784807456
43,,22/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,125,136,163,F,-9.797209254,14.16735642,2.789909955
44,,22/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,109,120,142,F,-12.49506851,12.6622474,2.751759165
45,,22/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,101,114.5,128,F,-15.80733075,13.435057,3.188795683
46,,22/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,87,97.5,118,F,-14.43477024,14.25564784,3.165211274
47,,22/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,117,130,154,F,-12.75993134,13.15148574,2.878468828
48,,22/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,112,124,150,M,-15.17225074,14.40418517,3.149746244
49,,22/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,99,109,132,M,-14.42590866,12.93439272,2.946325357
50,,22/01/2015,2015,1,Silvertip Shark,C. albimarginatus,,,Diego Garcia,DiegoGarcia,92,103,121,M,-15.57496039,14.29615802,3.133054916
53,,22/01/2015,2015,1,Grey Reef Shark,C. amblyrhynchos,,,Diego Garcia,DiegoGarcia,124,136,160.5,F,-11.82355756,13.81003585,2.854025007
